2024-12-05 13:30:04,750 INFO: ------Begin Training Model------ 
2024-12-05 13:34:39,886 INFO: Epoch 37, Test Loss: 0.1068793460726738 
2024-12-05 13:34:46,664 INFO: Epoch 38, Train Loss: 0.11971942270011232 
2024-12-05 13:34:47,242 INFO: Epoch 38, Test Loss: 0.10435146087159713 
2024-12-05 13:34:54,008 INFO: Epoch 39, Train Loss: 0.12672753579783858 
2024-12-05 13:34:54,590 INFO: Epoch 39, Test Loss: 0.10437839763859907 
2024-12-05 13:35:01,327 INFO: Epoch 40, Train Loss: 0.11860076390337526 
2024-12-05 13:35:01,906 INFO: Epoch 40, Test Loss: 0.10375002852330605 
2024-12-05 13:35:08,655 INFO: Epoch 41, Train Loss: 0.11836712506779454 
2024-12-05 13:35:09,237 INFO: Epoch 41, Test Loss: 0.10279796222845713 
2024-12-05 13:35:15,998 INFO: Epoch 42, Train Loss: 0.12191696438873023 
2024-12-05 13:35:16,578 INFO: Epoch 42, Test Loss: 0.10247827339917422 
2024-12-05 13:35:23,325 INFO: Epoch 43, Train Loss: 0.11527682344118755 
2024-12-05 13:35:23,905 INFO: Epoch 43, Test Loss: 0.10070516392588616 
2024-12-05 13:35:30,668 INFO: Epoch 44, Train Loss: 0.11735173785372784 
2024-12-05 13:35:31,249 INFO: Epoch 44, Test Loss: 0.10001066892097393 
2024-12-05 13:35:38,004 INFO: Epoch 45, Train Loss: 0.11156133176726207 
2024-12-05 13:35:38,581 INFO: Epoch 45, Test Loss: 0.09991590194404125 
2024-12-05 13:35:45,357 INFO: Epoch 46, Train Loss: 0.10922612498203914 
2024-12-05 13:35:45,939 INFO: Epoch 46, Test Loss: 0.09762431029230356 
2024-12-05 13:35:52,692 INFO: Epoch 47, Train Loss: 0.11724724777435001 
2024-12-05 13:35:53,275 INFO: Epoch 47, Test Loss: 0.10508838420112927 
2024-12-05 13:36:00,031 INFO: Epoch 48, Train Loss: 0.11729759082459566 
2024-12-05 13:36:00,613 INFO: Epoch 48, Test Loss: 0.10265133865177631 
2024-12-05 13:36:07,372 INFO: Epoch 49, Train Loss: 0.11891461359827142 
2024-12-05 13:36:07,954 INFO: Epoch 49, Test Loss: 0.09586838856339455 
2024-12-05 13:36:14,708 INFO: Epoch 50, Train Loss: 0.1067050083687431 
2024-12-05 13:36:15,287 INFO: Epoch 50, Test Loss: 0.09607882599035898 
2024-12-05 13:36:22,048 INFO: Epoch 51, Train Loss: 0.10615652231009383 
2024-12-05 13:36:22,627 INFO: Epoch 51, Test Loss: 0.09515132047235966 
2024-12-05 13:36:29,404 INFO: Epoch 52, Train Loss: 0.10561342890325345 
2024-12-05 13:36:29,980 INFO: Epoch 52, Test Loss: 0.0949172722796599 
2024-12-05 13:36:36,738 INFO: Epoch 53, Train Loss: 0.10684460545318168 
2024-12-05 13:36:37,319 INFO: Epoch 53, Test Loss: 0.09414763400952021 
2024-12-05 13:36:44,129 INFO: Epoch 54, Train Loss: 0.10771767363736504 
2024-12-05 13:36:44,710 INFO: Epoch 54, Test Loss: 0.09363565767804781 
2024-12-05 13:36:51,466 INFO: Epoch 55, Train Loss: 0.10374042156495546 
2024-12-05 13:36:52,046 INFO: Epoch 55, Test Loss: 0.09368034650882086 
2024-12-05 13:36:58,804 INFO: Epoch 56, Train Loss: 0.1034044947540551 
2024-12-05 13:36:59,383 INFO: Epoch 56, Test Loss: 0.09250511825084687 
2024-12-05 13:37:06,130 INFO: Epoch 57, Train Loss: 0.10369985838208282 
2024-12-05 13:37:06,711 INFO: Epoch 57, Test Loss: 0.09367096573114395 
2024-12-05 13:37:13,476 INFO: Epoch 58, Train Loss: 0.10198765682677428 
2024-12-05 13:37:14,058 INFO: Epoch 58, Test Loss: 0.0928135039905707 
2024-12-05 13:37:20,821 INFO: Epoch 59, Train Loss: 0.10036967818935712 
2024-12-05 13:37:21,399 INFO: Epoch 59, Test Loss: 0.0930389386912187 
2024-12-05 13:37:28,166 INFO: Epoch 60, Train Loss: 0.09923218425951506 
2024-12-05 13:37:28,747 INFO: Epoch 60, Test Loss: 0.09136844699581465 
2024-12-05 13:37:35,517 INFO: Epoch 61, Train Loss: 0.10159330815076828 
2024-12-05 13:37:36,097 INFO: Epoch 61, Test Loss: 0.09111358001828193 
2024-12-05 13:37:42,856 INFO: Epoch 62, Train Loss: 0.09959939207162774 
2024-12-05 13:37:43,440 INFO: Epoch 62, Test Loss: 0.090701824426651 
2024-12-05 13:37:50,204 INFO: Epoch 63, Train Loss: 0.09829596861412651 
2024-12-05 13:37:50,786 INFO: Epoch 63, Test Loss: 0.09096267943580945 
2024-12-05 13:37:57,525 INFO: Epoch 64, Train Loss: 0.09668518485207307 
2024-12-05 13:37:58,106 INFO: Epoch 64, Test Loss: 0.09082602001726628 
2024-12-05 13:38:04,877 INFO: Epoch 65, Train Loss: 0.1005871331221179 
2024-12-05 13:38:05,460 INFO: Epoch 65, Test Loss: 0.09015254924694698 
2024-12-05 13:38:12,235 INFO: Epoch 66, Train Loss: 0.09958595102816298 
2024-12-05 13:38:12,813 INFO: Epoch 66, Test Loss: 0.08984813479085764 
2024-12-05 13:38:19,584 INFO: Epoch 67, Train Loss: 0.10070863634086492 
2024-12-05 13:38:20,162 INFO: Epoch 67, Test Loss: 0.09044163152575493 
2024-12-05 13:38:26,940 INFO: Epoch 68, Train Loss: 0.09681109920666929 
