Test Set,Full Model Scaled Loss,Specialized Model Scaled Loss,Scaled Improvement (%),Full Model Unscaled Loss,Specialized Model Unscaled Loss,Unscaled Improvement (%)
MOS1,0.2506314892979229,0.14337393027894638,-42.79492545786241,2.814730447881362,2.907870517057531,3.309022689766795
MOS2,0.24565033702289357,0.09637218187837039,-60.768552957699015,1.5630074178471285,1.4045433366999907,-10.138408771303514
